2020-07-29 13:32:56,752 - root - WARNING - Successfully updated data from JHU on 07-28-2020
2020-07-29 13:33:08,710 - root - WARNING - Successfully updated data from ECDC on 07-28-2020
2020-07-29 13:33:09,273 - root - WARNING - Successfully updated data from VN on 07-28-2020
2020-07-29 13:33:09,318 - root - WARNING - Successfully updated data from VN on 07-28-2020
2020-07-29 13:35:00,811 - root - WARNING - Successfully updated data from JHU on 07-28-2020
2020-07-29 13:35:13,051 - root - WARNING - Successfully updated data from ECDC on 07-28-2020
2020-07-29 13:35:15,313 - root - WARNING - Successfully updated data from VN on 07-28-2020
2020-07-29 13:35:15,353 - root - WARNING - Successfully updated data from VN on 07-28-2020
2020-07-29 13:39:00,799 - asyncio - DEBUG - Using selector: EpollSelector
2020-07-29 13:39:00,825 - root - INFO - Successfully updated data from JHU on 07-28-2020
2020-07-29 13:39:12,763 - root - INFO - Successfully updated data from ECDC on 07-28-2020
2020-07-29 13:39:12,799 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): ncov.moh.gov.vn:443
2020-07-29 13:39:13,076 - urllib3.connectionpool - DEBUG - https://ncov.moh.gov.vn:443 "GET / HTTP/1.1" 200 None
2020-07-29 13:39:13,197 - root - INFO - Successfully updated data from VN on 07-28-2020
2020-07-29 13:39:13,237 - root - INFO - Successfully updated data from VN on 07-28-2020
2020-07-29 13:42:04,879 - root - INFO - Successfully updated data from JHU on 07-28-2020
2020-07-29 13:42:17,072 - root - INFO - Successfully updated data from ECDC on 07-28-2020
2020-07-29 13:42:17,660 - root - INFO - Successfully updated data from VN on 07-28-2020
2020-07-29 13:42:17,702 - root - INFO - Successfully updated data from VN on 07-28-2020
2020-07-29 14:23:42,129 - root - INFO - Successfully updated data from JHU on 07-28-2020
2020-07-29 14:23:56,745 - root - INFO - Successfully updated data from ECDC on 07-28-2020
2020-07-29 14:23:57,771 - root - INFO - Successfully updated data from VN on 07-28-2020
2020-07-29 14:23:57,812 - root - INFO - Successfully updated data from VN on 07-28-2020
2020-07-29 14:31:08,750 - root - INFO - Successfully updated data from JHU on 07-28-2020
2020-07-29 14:31:20,644 - root - INFO - Successfully updated data from ECDC on 07-28-2020
2020-07-29 14:31:21,141 - root - INFO - Successfully updated data from VN on 07-28-2020
2020-07-29 14:31:21,182 - root - INFO - Successfully updated data from VN on 07-28-2020
2020-07-29 14:33:03,353 - root - INFO - Successfully updated data from JHU on 07-28-2020
2020-07-29 14:33:15,192 - root - INFO - Successfully updated data from ECDC on 07-28-2020
2020-07-29 14:33:15,764 - root - INFO - Successfully updated data from VN on 07-28-2020
2020-07-29 14:33:15,802 - root - INFO - Successfully updated data from VN on 07-28-2020
2020-07-29 14:35:14,011 - root - INFO - Successfully updated data from JHU on 07-28-2020
2020-07-29 14:35:25,878 - root - INFO - Successfully updated data from ECDC on 07-28-2020
2020-07-29 14:35:57,111 - root - INFO - Successfully updated data from VN on 07-28-2020
2020-07-29 14:35:57,150 - root - INFO - Successfully updated data from VN on 07-28-2020
2020-07-29 21:51:33,472 - root - INFO - Successfully updated data from JHU on 07-28-2020
2020-07-29 21:51:45,841 - root - INFO - Successfully updated data from ECDC on 07-28-2020
2020-07-29 21:52:15,192 - root - INFO - Successfully updated data from JHU on 07-28-2020
2020-07-29 21:52:27,499 - root - INFO - Successfully updated data from ECDC on 07-28-2020
2020-07-29 21:56:53,248 - root - INFO - Successfully updated data from JHU on 07-28-2020
2020-07-29 21:57:05,551 - root - INFO - Successfully updated data from ECDC on 07-28-2020
2020-07-29 21:57:06,043 - root - INFO - Successfully updated data from VN on 07-28-2020
2020-07-29 21:57:06,083 - root - INFO - Successfully updated data from VN on 07-28-2020
2020-07-29 22:23:02 ; root ; INFO ; Successfully updated data from JHU on 07-28-2020
2020-07-29 22:23:15 ; root ; INFO ; Successfully updated data from ECDC on 07-28-2020
2020-07-29 22:23:23 ; root ; INFO ; Successfully updated data from VN on 07-28-2020
2020-07-29 22:23:23 ; root ; INFO ; Successfully updated data from VN on 07-28-2020
2020-07-30 13:22:36 ; root ; INFO ; Successfully updated data from JHU on 07-29-2020
2020-07-30 13:22:49 ; root ; INFO ; Successfully updated data from ECDC on 07-29-2020
2020-07-30 13:22:53 ; root ; INFO ; Successfully updated data from VN on 07-29-2020
2020-07-30 13:22:53 ; root ; INFO ; Successfully updated data from VN on 07-29-2020
2020-07-31 03:26:42 ; root ; ERROR ; HTTP Error 404: Not Found
2020-07-31 03:26:55 ; root ; INFO ; Successfully updated data from ECDC on 07-30-2020
2020-07-31 03:26:55 ; root ; INFO ; Successfully updated data from VN on 07-30-2020
2020-07-31 03:26:55 ; root ; INFO ; Successfully updated data from VN on 07-30-2020
2020-08-04 08:49:19 ; root ; ERROR ; HTTP Error 404: Not Found
2020-08-04 08:49:33 ; root ; INFO ; Successfully updated data from ECDC on 08-03-2020
2020-08-04 08:49:34 ; root ; INFO ; Successfully updated data from VN on 08-03-2020
2020-08-04 08:49:34 ; root ; INFO ; Successfully updated data from VN on 08-03-2020
2020-08-14 11:39:46 ; root ; ERROR ; HTTP Error 404: Not Found
2020-08-14 11:40:05 ; root ; INFO ; Successfully updated data from ECDC on 08-13-2020
2020-08-14 11:40:06 ; root ; INFO ; Successfully updated data from VN on 08-13-2020
2020-08-14 11:40:06 ; root ; INFO ; Successfully updated data from VN on 08-13-2020
2020-08-17 15:52:09 ; root ; INFO ; Successfully updated data from JHU on 08-16-2020
2020-08-17 15:52:36 ; root ; INFO ; Successfully updated data from ECDC on 08-16-2020
2020-08-17 15:52:37 ; root ; INFO ; Successfully updated data from VN on 08-16-2020
2020-08-17 15:52:37 ; root ; INFO ; Successfully updated data from VN on 08-16-2020
2020-08-18 08:55:14 ; root ; ERROR ; HTTP Error 404: Not Found
2020-08-18 08:55:50 ; root ; INFO ; Successfully updated data from ECDC on 08-17-2020
2020-08-18 08:55:50 ; root ; INFO ; Successfully updated data from VN on 08-17-2020
2020-08-18 08:55:50 ; root ; INFO ; Successfully updated data from VN on 08-17-2020
2020-08-18 14:58:50 ; root ; INFO ; Successfully updated data from JHU on 08-17-2020
2020-08-18 14:59:05 ; root ; INFO ; Successfully updated data from ECDC on 08-17-2020
2020-08-18 14:59:06 ; root ; INFO ; Successfully updated data from VN on 08-17-2020
2020-08-18 14:59:06 ; root ; INFO ; Successfully updated data from VN on 08-17-2020
2020-08-18 15:00:50 ; root ; INFO ; Successfully updated data from JHU on 08-17-2020
2020-08-18 15:01:05 ; root ; INFO ; Successfully updated data from ECDC on 08-17-2020
2020-08-18 15:01:05 ; root ; INFO ; Successfully updated data from VN on 08-17-2020
2020-08-18 15:01:05 ; root ; INFO ; Successfully updated data from VN on 08-17-2020
2020-08-18 15:01:39 ; root ; INFO ; Successfully updated data from JHU on 08-17-2020
2020-08-18 15:01:57 ; root ; INFO ; Successfully updated data from ECDC on 08-17-2020
2020-08-18 15:01:58 ; root ; INFO ; Successfully updated data from VN on 08-17-2020
2020-08-18 15:01:58 ; root ; INFO ; Successfully updated data from VN on 08-17-2020
2020-08-18 15:02:00 ; root ; INFO ; Successfully updated data from WHO on 08-17-2020
2020-08-18 15:02:29 ; root ; INFO ; Successfully updated data from JHU on 08-17-2020
2020-08-18 15:02:44 ; root ; INFO ; Successfully updated data from ECDC on 08-17-2020
2020-08-18 15:02:44 ; root ; INFO ; Successfully updated data from VN on 08-17-2020
2020-08-18 15:02:44 ; root ; INFO ; Successfully updated data from VN on 08-17-2020
