City,Total cases,Active,Recovered,Death
Hà Nội,121,0,121,0
Hồ Chí Minh,62,0,62,0
Thái Bình,30,0,30,0
Bạc Liêu,23,2,21,0
Vĩnh Phúc,19,0,19,0
Bà Rịa - Vũng Tàu,18,9,9,0
Thanh Hóa,17,12,5,0
Ninh Bình,13,0,13,0
Quảng Ninh,10,1,9,0
Bình Thuận,9,0,9,0
Đà Nẵng,6,0,6,0
Đồng Tháp,6,0,6,0
Quảng Nam,5,0,5,0
Hưng Yên,5,0,5,0
Hải Dương,4,0,4,0
Hà Nam,4,0,4,0
Bắc Giang,4,0,4,0
Hà Tĩnh,4,0,4,0
Tây Ninh,4,0,4,0
Thừa Thiên Huế,2,0,2,0
Cần Thơ,2,0,2,0
Trà Vinh,2,0,2,0
Ninh Thuận,2,0,2,0
Lào Cai,2,0,2,0
Khánh Hòa,1,0,1,0
Bến Tre,1,0,1,0
Bắc Ninh,1,0,1,0
Thái Nguyên,1,0,1,0
Lai Châu,1,0,1,0
Quảng Ngãi,1,1,0,0
Cà Mau,1,1,0,0
Đồng Nai,1,0,1,0
Hà Giang,1,0,1,0
