City,Total cases,Active,Recovered,Death
Đà Nẵng,355,274,60,21
Hà Nội,155,34,121,0
Quảng Nam,99,84,12,3
Hồ Chí Minh,77,15,62,0
Bà Rịa - Vũng Tàu,37,11,26,0
Thái Bình,31,1,30,0
Bạc Liêu,25,1,24,0
Ninh Bình,23,2,21,0
Vĩnh Phúc,19,0,19,0
Thanh Hóa,18,2,16,0
Hải Dương,16,11,5,0
Khánh Hòa,13,12,1,0
Quảng Ninh,11,0,11,0
Bắc Giang,10,6,4,0
Bình Thuận,9,0,9,0
Nam Định,8,5,3,0
Quảng Ngãi,7,5,2,0
Quảng Trị,7,6,0,1
Hoà Bình,6,2,4,0
Đồng Tháp,6,0,6,0
Hưng Yên,5,0,5,0
Hà Nam,5,1,4,0
Lạng Sơn,4,4,0,0
Hà Tĩnh,4,0,4,0
Trà Vinh,4,0,4,0
Tây Ninh,4,0,4,0
Đồng Nai,3,2,1,0
Cần Thơ,3,1,2,0
Hải Phòng,3,3,0,0
Đắk Lắk,3,3,0,0
Ninh Thuận,2,0,2,0
Thừa Thiên Huế,2,0,2,0
Lào Cai,2,0,2,0
Kiên Giang,1,1,0,0
Thái Nguyên,1,0,1,0
Cà Mau,1,0,1,0
Hà Giang,1,0,1,0
Bến Tre,1,0,1,0
Lai Châu,1,0,1,0
Bắc Ninh,1,0,1,0
